ignore,date,period,French,Irish,Dutch,East-West,NemoLink,ElecLink,IFA2,NorthSeaLink
INTOUTHH,20210720,1,1806,-454,908,-380,902,,702,-2
INTOUTHH,20210720,2,1806,-454,908,-490,902,,702,-2
INTOUTHH,20210720,3,1806,-454,908,-396,902,,702,-2
INTOUTHH,20210720,4,1806,-454,906,-470,902,,702,-2
INTOUTHH,20210720,5,1806,-454,906,-432,902,,702,-2
INTOUTHH,20210720,6,1806,-454,906,-414,902,,702,-2
INTOUTHH,20210720,7,1806,-454,914,-384,902,,702,-2
INTOUTHH,20210720,8,1806,-454,914,-366,902,,702,-2
INTOUTHH,20210720,9,1806,-454,902,-356,902,,702,-2
INTOUTHH,20210720,10,1806,-454,902,-358,902,,702,-2
INTOUTHH,20210720,11,1730,-454,874,-430,818,,700,-2
INTOUTHH,20210720,12,1730,-454,874,-382,818,,702,-2
INTOUTHH,20210720,13,1966,-454,224,-224,698,,702,-2
INTOUTHH,20210720,14,1968,-454,204,-266,698,,702,-2
INTOUTHH,20210720,15,1802,-454,472,-414,908,,696,-2
INTOUTHH,20210720,16,1802,-436,488,-386,910,,696,-2
INTOUTHH,20210720,17,2002,-454,988,-498,998,,702,-2
INTOUTHH,20210720,18,2004,-454,1004,-536,1000,,702,-2
INTOUTHH,20210720,19,2004,-454,1004,-536,1000,,702,-2
INTOUTHH,20210720,20,2004,-454,1004,-536,1000,,702,-2
INTOUTHH,20210720,21,2004,-454,1004,-536,1000,,704,-2
INTOUTHH,20210720,22,2004,-454,1004,-536,1000,,702,-2
INTOUTHH,20210720,23,1992,-454,1062,-536,1000,,704,-2
INTOUTHH,20210720,24,1992,-454,1062,-536,1000,,704,-2
INTOUTHH,20210720,25,2004,-454,1062,-536,1000,,704,-2
INTOUTHH,20210720,26,2004,-454,1062,-536,1000,,704,-2
INTOUTHH,20210720,27,1976,-454,1004,-536,1000,,748,-2
INTOUTHH,20210720,28,1976,-454,1004,-536,1000,,750,-2
INTOUTHH,20210720,29,2004,-454,1004,-536,1000,,750,-2
INTOUTHH,20210720,30,2004,-454,954,-536,1000,,750,-2
INTOUTHH,20210720,31,2004,-454,1004,-536,1000,,750,-2
INTOUTHH,20210720,32,2004,-454,1004,-536,1000,,750,-2
INTOUTHH,20210720,33,2004,-454,1004,-536,1020,,752,-2
INTOUTHH,20210720,34,2004,-454,1004,-536,1020,,752,-2
INTOUTHH,20210720,35,2004,-454,1034,-534,1020,,752,-2
INTOUTHH,20210720,36,2004,-454,1042,-536,1020,,752,-2
INTOUTHH,20210720,37,2004,-454,1040,-536,1020,,752,-2
INTOUTHH,20210720,38,2004,-454,1032,-536,1020,,752,-2
INTOUTHH,20210720,39,2004,-454,1004,-536,1020,,750,-2
INTOUTHH,20210720,40,2004,-454,1004,-536,1020,,752,-2
INTOUTHH,20210720,41,2004,-454,1002,-536,1020,,752,-2
INTOUTHH,20210720,42,2004,-454,1004,-512,1020,,752,-2
INTOUTHH,20210720,43,2004,-454,1004,-396,1000,,752,-2
INTOUTHH,20210720,44,2004,-454,1002,-440,1000,,750,-2
INTOUTHH,20210720,45,2004,-454,934,-366,1000,,750,-2
INTOUTHH,20210720,46,2002,-454,934,-394,1000,,752,-2
INTOUTHH,20210720,47,1904,-454,954,-480,950,,752,-2
INTOUTHH,20210720,48,1904,-454,954,-486,950,,752,-2
INTOUTHH,20210721,1,1904,-454,954,-526,950,,750,-2
INTOUTHH,20210721,2,1904,-454,952,-416,950,,750,-2
INTOUTHH,20210721,3,1904,-454,954,-342,952,,750,-2
INTOUTHH,20210721,4,1904,-454,954,-394,952,,752,-2
INTOUTHH,20210721,5,1904,-454,954,-310,952,,750,-2
INTOUTHH,20210721,6,1904,-454,952,-380,952,,750,-2
INTOUTHH,20210721,7,1904,-454,952,-384,952,,752,-2
INTOUTHH,20210721,8,1904,-454,952,-418,952,,750,-2
INTOUTHH,20210721,9,1904,-454,952,-382,952,,750,-2
INTOUTHH,20210721,10,1904,-454,940,-408,952,,752,-2
INTOUTHH,20210721,11,1880,-454,422,-258,950,,764,-2
INTOUTHH,20210721,12,1880,-454,410,-214,950,,766,-2
INTOUTHH,20210721,13,1874,-454,608,-248,952,,770,-2
INTOUTHH,20210721,14,1874,-454,612,-386,952,,770,-2
INTOUTHH,20210721,15,1928,-454,996,-384,1000,,762,-2
INTOUTHH,20210721,16,1928,-454,1002,-508,1000,,762,-2
INTOUTHH,20210721,17,2004,-454,1002,-536,1000,,750,-2
INTOUTHH,20210721,18,2004,-454,1002,-536,1000,,750,-2
INTOUTHH,20210721,19,2004,-454,1004,-536,1000,,752,-2
INTOUTHH,20210721,20,2004,-454,1004,-536,1000,,752,-2
INTOUTHH,20210721,21,2004,-454,1002,-536,1000,,752,-2
INTOUTHH,20210721,22,2004,-454,1004,-536,1000,,752,-2
FTR,70
